IRI Week,Calendar week starting on,Calendar week ending on,WeekOfYear,Month,Year
1114,1-Jan-01,7-Jan-01,1,1,2001
1115,8-Jan-01,14-Jan-01,2,1,2001
1116,15-Jan-01,21-Jan-01,3,1,2001
1117,22-Jan-01,28-Jan-01,4,1,2001
1118,29-Jan-01,4-Feb-01,5,1,2001
1119,5-Feb-01,11-Feb-01,6,2,2001
1120,12-Feb-01,18-Feb-01,7,2,2001
1121,19-Feb-01,25-Feb-01,8,2,2001
1122,26-Feb-01,4-Mar-01,9,2,2001
1123,5-Mar-01,11-Mar-01,10,3,2001
1124,12-Mar-01,18-Mar-01,11,3,2001
1125,19-Mar-01,25-Mar-01,12,3,2001
1126,26-Mar-01,1-Apr-01,13,3,2001
1127,2-Apr-01,8-Apr-01,14,4,2001
1128,9-Apr-01,15-Apr-01,15,4,2001
1129,16-Apr-01,22-Apr-01,16,4,2001
1130,23-Apr-01,29-Apr-01,17,4,2001
1131,30-Apr-01,6-May-01,18,4,2001
1132,7-May-01,13-May-01,19,5,2001
1133,14-May-01,20-May-01,20,5,2001
1134,21-May-01,27-May-01,21,5,2001
1135,28-May-01,3-Jun-01,22,5,2001
1136,4-Jun-01,10-Jun-01,23,6,2001
1137,11-Jun-01,17-Jun-01,24,6,2001
1138,18-Jun-01,24-Jun-01,25,6,2001
1139,25-Jun-01,1-Jul-01,26,6,2001
1140,2-Jul-01,8-Jul-01,27,7,2001
1141,9-Jul-01,15-Jul-01,28,7,2001
1142,16-Jul-01,22-Jul-01,29,7,2001
1143,23-Jul-01,29-Jul-01,30,7,2001
1144,30-Jul-01,5-Aug-01,31,7,2001
1145,6-Aug-01,12-Aug-01,32,8,2001
1146,13-Aug-01,19-Aug-01,33,8,2001
1147,20-Aug-01,26-Aug-01,34,8,2001
1148,27-Aug-01,2-Sep-01,35,8,2001
1149,3-Sep-01,9-Sep-01,36,9,2001
1150,10-Sep-01,16-Sep-01,37,9,2001
1151,17-Sep-01,23-Sep-01,38,9,2001
1152,24-Sep-01,30-Sep-01,39,9,2001
1153,1-Oct-01,7-Oct-01,40,10,2001
1154,8-Oct-01,14-Oct-01,41,10,2001
1155,15-Oct-01,21-Oct-01,42,10,2001
1156,22-Oct-01,28-Oct-01,43,10,2001
1157,29-Oct-01,4-Nov-01,44,10,2001
1158,5-Nov-01,11-Nov-01,45,11,2001
1159,12-Nov-01,18-Nov-01,46,11,2001
1160,19-Nov-01,25-Nov-01,47,11,2001
1161,26-Nov-01,2-Dec-01,48,11,2001
1162,3-Dec-01,9-Dec-01,49,12,2001
1163,10-Dec-01,16-Dec-01,50,12,2001
1164,17-Dec-01,23-Dec-01,51,12,2001
1165,24-Dec-01,30-Dec-01,52,12,2001
1166,31-Dec-01,6-Jan-02,1,12,2001
1167,7-Jan-02,13-Jan-02,2,1,2002
1168,14-Jan-02,20-Jan-02,3,1,2002
1169,21-Jan-02,27-Jan-02,4,1,2002
1170,28-Jan-02,3-Feb-02,5,1,2002
1171,4-Feb-02,10-Feb-02,6,2,2002
1172,11-Feb-02,17-Feb-02,7,2,2002
1173,18-Feb-02,24-Feb-02,8,2,2002
1174,25-Feb-02,3-Mar-02,9,2,2002
1175,4-Mar-02,10-Mar-02,10,3,2002
1176,11-Mar-02,17-Mar-02,11,3,2002
1177,18-Mar-02,24-Mar-02,12,3,2002
