Market_Area,State
BUFFALO/ROCHESTER,NY
MILWAUKEE,WI
PEORIA/SPRINGFLD.,IL
OKLAHOMA CITY,OK
LOS ANGELES,CA
SAN FRANCISCO,CA
"PORTLAND,OR",OR
NEW YORK,NY
WEST TEX/NEW MEX,NM
BOSTON,MA
HOUSTON,TX
GREEN BAY,WI
HARTFORD,CT
CHARLOTTE,NC
SAN DIEGO,CA
EAU CLAIRE,WI
"TULSA,OK",OK
NEW ENGLAND,ME
"NEW ORLEANS, LA",LA
SALT LAKE CITY,UT
OMAHA,NE
RICHMOND/NORFOLK,VA
KNOXVILLE,TN
SOUTH CAROLINA,SC
"DALLAS, TX",TX
ROANOKE,VA
"WASHINGTON, DC",MD
SYRACUSE,NY
RALEIGH/DURHAM,NC
PHILADELPHIA,PA
HARRISBURG/SCRANT,PA
SPOKANE,WA
ATLANTA,GA
SACRAMENTO,CA
MISSISSIPPI,MS
PITTSFIELD,MA
"PROVIDENCE,RI",RI
CHICAGO,IL
ST. LOUIS,MO
BIRMINGHAM/MONTG.,AL
SEATTLE/TACOMA,WA
TOLEDO,OH
GRAND RAPIDS,MI
MINNEAPOLIS/ST. P,MN
DETROIT,MI
DES MOINES,IA
KANSAS CITY,MO
"PHOENIX, AZ",AZ
INDIANAPOLIS,IN
CLEVELAND,OH
